ADMINLVL	AGRIC	BUSH_FOOD	CCODE2K4	DCODE_2K4	DRY	FID	FOOD_SEC	HEALTH	HEA_FUNCT	HHLD	IDP	NAME_WS	NAME_WS_1	OID_	POP	P_CODE	P_CODE_1	QC_GEO_WS	RETURN_	SCHOOL	SCH_FUNCT	SIZE	TRAV_TIME	WET	X_COORD	Y_COORD	OBJECTID	geometry	country_code	sdr_id	sdr_name	sdr_level
05	" "	" "	21	2114	Y	354	" "	Y	N	450.00	A	"Yarpuah Town"	"Yarpuah Town"	186	2250.00	LC2114005	LC2114005	4	S	Y	N	" "	0.00	Y	-9.38	7.63	399	"""{\""type\"":\""Point\"",\""coordinates\"":[-9.3763299999999,7.6314800000001]}"""	LR	0		
07	" "	" "	21	2110	Y	355	" "	Y	N	30.00	A	kumasadu	kumasadu	147	150.00	LA2110018	LA2110018	4	S	Y	N	" "	0.00	Y	-10.17	8.46	400	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.16879,8.4558500000001]}"""	LR	17991	Kumasadu	ADM1
07	" "	" "	21	2110	Y	356	" "	Y	Y	14.00	A	Kpasaymbidu	Kpasaymbidu	145	70.00	LA2110030	LA2110030	4	S	N	N	" "	0.00	Y	-10.21	8.39	401	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.20767,8.3904600000001]}"""	LR	0		
06	" "	" "	24	2408	Y	357	" "	Y	N	47.00	S	"New Duazon"	"New Duazon"	236	235.00	LB2408134	LB2408134	4	S	Y	Y	" "	0.00	Y	-10.58	6.22	402	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.58455,6.2175900000001]}"""	LR	0		
06	" "	" "	24	2408	Y	358	" "	Y	Y	105.00	S	"Schefflin Town"	"Schefflin Town"	238	525.00	LB2408137	LB2408137	4	S	Y	Y	" "	0.00	Y	-10.53	6.23	403	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.52774,6.2286600000001]}"""	LR	0		
07	" "	" "	09	0912	N	359	" "	Y	Y	15.00	A	"D.I.C Mission"	"D.I.C Mission"	68	75.00	LG0912014	LG0912014	4	A	Y	Y	" "	0.00	N	-9.57	6.15	404	"""{\""type\"":\""Point\"",\""coordinates\"":[-9.5737599999999,6.1535800000001]}"""	LR	0		
06	" "	" "	36	3604	Y	360	" "	Y	Y	47.00	P	Gedeh	Gedeh	368	235.00	LB3602044	LB3602044	4	S	Y	Y	" "	0.00	Y	-9.62	5.91	405	"""{\""type\"":\""Point\"",\""coordinates\"":[-9.62128,5.9085800000001]}"""	LR	0		
07	" "	" "	27	2704	Y	361	" "	Y	Y	22.00	S	Sawmill	Sawmill	257	110.00	LR1500076	LR1500076	2	S	N	N	" "	0.00	Y	-7.75	4.76	69	"""{\""type\"":\""Point\"",\""coordinates\"":[-7.7530399999999,4.76122]}"""	LR	7416	Sawmill	ADM1
07	" "	" "	36	3602	Y	362	" "	Y	Y	18.00	P	"Charlie Town"	"Charlie Town"	359	90.00	LA3602007	LA3602007	4	A	Y	Y	" "	0.00	Y	-9.20	6.28	406	"""{\""type\"":\""Point\"",\""coordinates\"":[-9.2025499999999,6.27986]}"""	LR	76175	"Charlie Town"	PPL
07	" "	" "	36	3604	Y	363	" "	Y	Y	15.00	A	Guewein	Guewein	369	75.00	LD3604004	LD3604004	4	S	Y	Y	" "	0.00	Y	-9.61	5.50	407	"""{\""type\"":\""Point\"",\""coordinates\"":[-9.6108899999999,5.5007]}"""	LR	0		
