pos	adm0_id	adm0_name	adm1_id	adm1_name	mkt_id	mkt_name	cm_id	cm_name	cur_id	cur_name	pt_id	pt_name	um_id	um_name	month_year	mp_month	mp_year	mp_price	mp_commoditysource	sdr_id	sdr_name	sdr_level	ndate
129	106	Guinea	40701	Conakry	356	Concasseur	185	Salt	54	GNF	15	Retail	5	KG	40969	3	2012	3500.0	WFP	0			2012-03-01
130	106	Guinea	40701	Conakry	356	Concasseur	97	Sugar	54	GNF	15	Retail	5	KG	40969	3	2012	8500.0	WFP	0			2012-03-01
131	106	Guinea	40701	Conakry	356	Concasseur	97	Sugar	54	GNF	15	Retail	5	KG	40544	1	2011	12000.0	WFP	0			2011-01-01
132	106	Guinea	40701	Conakry	356	Concasseur	114	Tomatoes	54	GNF	15	Retail	33	Unit	40969	3	2012	1000.0	WFP	0			2012-03-01
133	106	Guinea	40701	Conakry	356	Concasseur	243	Tomatoes (Greenhouse)	54	GNF	15	Retail	33	Unit	40969	3	2012	1500.0	WFP	0			2012-03-01
134	106	Guinea	40701	Conakry	1571	Madina	50	Beans	54	GNF	15	Retail	5	KG	41640	1	2014	10000.0	WFP	3604	Madina	PPL	2014-01-01
135	106	Guinea	40701	Conakry	1571	Madina	55	Bread	54	GNF	15	Retail	33	Unit	41640	1	2014	2500.0	WFP	3604	Madina	PPL	2014-01-01
136	106	Guinea	40701	Conakry	1571	Madina	55	Bread	54	GNF	15	Retail	33	Unit	41518	9	2013	3000.0	WFP	3604	Madina	PPL	2013-09-01
137	106	Guinea	40701	Conakry	1571	Madina	55	Bread	54	GNF	15	Retail	33	Unit	41487	8	2013	3000.0	WFP	3604	Madina	PPL	2013-08-01
138	106	Guinea	40701	Conakry	1571	Madina	55	Bread	54	GNF	15	Retail	33	Unit	41456	7	2013	3000.0	WFP	3604	Madina	PPL	2013-07-01
139	106	Guinea	40701	Conakry	1571	Madina	109	Meat	54	GNF	15	Retail	5	KG	41640	1	2014	30000.0	WFP	3604	Madina	PPL	2014-01-01
140	106	Guinea	40701	Conakry	1571	Madina	109	Meat	54	GNF	15	Retail	5	KG	41518	9	2013	32000.0	WFP	3604	Madina	PPL	2013-09-01
141	106	Guinea	40701	Conakry	1571	Madina	109	Meat	54	GNF	15	Retail	5	KG	41487	8	2013	32000.0	WFP	3604	Madina	PPL	2013-08-01
