pos	adm0_id	adm0_name	adm1_id	adm1_name	mkt_id	mkt_name	cm_id	cm_name	cur_id	cur_name	pt_id	pt_name	um_id	um_name	month_year	mp_month	mp_year	mp_price	mp_commoditysource	sdr_id	sdr_name	sdr_level
50	106	Guinea	40700	Boke	1639	Boke	64	"Rice (Imported)"	54	GNF	15	Retail	5	KG	41760	5	2014	4000	WFP	1	Boke	ADM1
51	106	Guinea	40700	Boke	1639	Boke	64	"Rice (Imported)"	54	GNF	15	Retail	5	KG	41730	4	2014	4000	WFP	1	Boke	ADM1
52	106	Guinea	40700	Boke	1639	Boke	64	"Rice (Imported)"	54	GNF	15	Retail	5	KG	41699	3	2014	4000	WFP	1	Boke	ADM1
53	106	Guinea	40700	Boke	1639	Boke	64	"Rice (Imported)"	54	GNF	15	Retail	5	KG	41671	2	2014	4000	Government	1	Boke	ADM1
54	106	Guinea	40700	Boke	1639	Boke	64	"Rice (Imported)"	54	GNF	15	Retail	5	KG	41640	1	2014	4200	WFP	1	Boke	ADM1
55	106	Guinea	40700	Boke	1639	Boke	71	"Rice (Local)"	54	GNF	15	Retail	5	KG	41913	10	2014	5500	WFP	1	Boke	ADM1
56	106	Guinea	40700	Boke	1639	Boke	71	"Rice (Local)"	54	GNF	15	Retail	5	KG	41883	9	2014	5500	WFP	1	Boke	ADM1
57	106	Guinea	40700	Boke	1639	Boke	71	"Rice (Local)"	54	GNF	15	Retail	5	KG	41852	8	2014	5500	WFP	1	Boke	ADM1
58	106	Guinea	40700	Boke	1639	Boke	71	"Rice (Local)"	54	GNF	15	Retail	5	KG	41821	7	2014	6000	WFP	1	Boke	ADM1
59	106	Guinea	40700	Boke	1639	Boke	71	"Rice (Local)"	54	GNF	15	Retail	5	KG	41791	6	2014	6000	WFP	1	Boke	ADM1
60	106	Guinea	40700	Boke	1639	Boke	71	"Rice (Local)"	54	GNF	15	Retail	5	KG	41760	5	2014	5500	WFP	1	Boke	ADM1
61	106	Guinea	40700	Boke	1639	Boke	71	"Rice (Local)"	54	GNF	15	Retail	5	KG	41730	4	2014	5500	WFP	1	Boke	ADM1
62	106	Guinea	40700	Boke	1639	Boke	71	"Rice (Local)"	54	GNF	15	Retail	5	KG	41699	3	2014	5000	WFP	1	Boke	ADM1
63	106	Guinea	40700	Boke	1639	Boke	71	"Rice (Local)"	54	GNF	15	Retail	5	KG	41671	2	2014	5500	Government	1	Boke	ADM1
64	106	Guinea	40700	Boke	1639	Boke	71	"Rice (Local)"	54	GNF	15	Retail	5	KG	41640	1	2014	5000	WFP	1	Boke	ADM1
65	106	Guinea	40700	Boke	1639	Boke	185	Salt	54	GNF	15	Retail	5	KG	41852	8	2014	1500	WFP	1	Boke	ADM1
66	106	Guinea	40700	Boke	1639	Boke	185	Salt	54	GNF	15	Retail	5	KG	41821	7	2014	1500	WFP	1	Boke	ADM1
67	106	Guinea	40700	Boke	1639	Boke	185	Salt	54	GNF	15	Retail	5	KG	41791	6	2014	1500	WFP	1	Boke	ADM1
68	106	Guinea	40700	Boke	1639	Boke	185	Salt	54	GNF	15	Retail	5	KG	41760	5	2014	1500	WFP	1	Boke	ADM1
69	106	Guinea	40700	Boke	1639	Boke	185	Salt	54	GNF	15	Retail	5	KG	41730	4	2014	1500	WFP	1	Boke	ADM1
70	106	Guinea	40700	Boke	1639	Boke	185	Salt	54	GNF	15	Retail	5	KG	41699	3	2014	2500	WFP	1	Boke	ADM1
71	106	Guinea	40700	Boke	1639	Boke	185	Salt	54	GNF	15	Retail	5	KG	41671	2	2014	1500	WFP	1	Boke	ADM1
72	106	Guinea	40700	Boke	1639	Boke	185	Salt	54	GNF	15	Retail	5	KG	41640	1	2014	1500	WFP	1	Boke	ADM1
73	106	Guinea	40700	Boke	1639	Boke	185	Salt	54	GNF	15	Retail	33	Unit	41913	10	2014	2500	WFP	1	Boke	ADM1
