adm0_name	cm_name		mp_price
Guinea	Salt		3000
Guinea	Salt		3000
Guinea	Salt		2500
Guinea	Salt		2500
Guinea	Salt		25000
Guinea	Salt		3000
Guinea	Salt		2500
Guinea	Salt		2500
Guinea	Sugar		7000
Guinea	Sugar		7000
Guinea	Sugar		7000
Guinea	Sugar		8000
Guinea	Sugar		7000
Guinea	Sugar		7000
Guinea	Sugar		7000
Guinea	Sugar		7000
Guinea	Sugar		7000
Guinea	Sugar		6500
Guinea	Sugar		7000
Guinea	Sugar		7000
Guinea	Sugar		7000
Guinea	Sugar		8000
Guinea	Sugar		8000
Guinea	Sugar		8000
Guinea	Sugar		8000
Guinea	Sugar		7500
Guinea	Sugar		7000
Guinea	Sugar		7000
Guinea	Sugar		8000
Guinea	Sugar		9000
Guinea	Sugar		9000
Guinea	Sugar		8000
Guinea	Sugar		9000
Guinea	Sugar		9000
Guinea	Sugar		9000
Guinea	Tomatoes		1000
Guinea	Tomatoes		1000
Guinea	Tomatoes		3000
Guinea	Tomatoes		2000
Guinea	"Tomatoes (Greenhouse)"		2000
Guinea	"Tomatoes (Greenhouse)"		2000
Guinea	"Tomatoes (Greenhouse)"		2000
Guinea	"Tomatoes (Greenhouse)"		2000
Guinea	"Tomatoes (Greenhouse)"		2000
Guinea	"Tomatoes (Greenhouse)"		2000
Guinea	"Tomatoes (Greenhouse)"		2000
Guinea	"Tomatoes (Greenhouse)"		2000
Guinea	"Tomatoes (Greenhouse)"		2000
Guinea	"Tomatoes (Greenhouse)"		2000
Guinea	"Tomatoes (Greenhouse)"		1750
Guinea	"Tomatoes (Greenhouse)"		1750
Guinea	"Tomatoes (Greenhouse)"		3000
Guinea	"Tomatoes (Greenhouse)"		1500
Guinea	Beans		15000
Guinea	Beans		15000
Guinea	Beans		12000
Guinea	Beans		13500
Guinea	Beans		4000
Guinea	Beans		10000
Guinea	Beans		9500
Guinea	Beans		10000
Guinea	Beans		10000
Guinea	Beans		10000
Guinea	Beans		9000
Guinea	Beans		9000
Guinea	Beans		10000
Guinea	Beans		8000
Guinea	Beans		17000
Guinea	Beans		13500
Guinea	Beans		5000
Guinea	Beans		5000
Guinea	Beans		5000
Guinea	Beans		4000
Guinea	Beans		4000
Guinea	Bread		3000
Guinea	Bread		3000
Guinea	Bread		3000
Guinea	Bread		3000
Guinea	Bread		3000
Guinea	Bread		3000
Guinea	Bread		3000
Guinea	Bread		3000
Guinea	Bread		3000
Guinea	Bread		3000
Guinea	Bread		3000
Guinea	Bread		3000
Guinea	Bread		2500
Guinea	Bread		2500
Guinea	Bread		2500
Guinea	Bread		2500
Guinea	Bread		2500
Guinea	Bread		3000
Guinea	Bread		2000
Guinea	Bread		2500
Guinea	Bread		2500
Guinea	Bread		3000
Guinea	Gari		3500
Guinea	Gari		3000
Guinea	Gari		1000
Guinea	Gari		5000
Guinea	Gari		5000
Guinea	Gari		3000
Guinea	Meat		30000
Guinea	Meat		30000
Guinea	Meat		30000
Guinea	Meat		30000
Guinea	Meat		25000
Guinea	Meat		25000
Guinea	Meat		25000
Guinea	Meat		25000
Guinea	Meat		25000
Guinea	Meat		25000
Guinea	Meat		25000
Guinea	Meat		25000
Guinea	Meat		25000
Guinea	Meat		30000
Guinea	Meat		25000
Guinea	Meat		25000
Guinea	Meat		25000
Guinea	Meat		25000
Guinea	Meat		25000
Guinea	Meat		25000
Guinea	Meat		25000
Guinea	Meat		25000
Guinea	Meat		25000
Guinea	Meat		25000
Guinea	Meat		25000
Guinea	"Oil (Palm)"		10000
Guinea	"Oil (Palm)"		9500
Guinea	"Oil (Palm)"		9500
Guinea	"Oil (Palm)"		9500
Guinea	"Oil (Palm)"		9000
Guinea	"Oil (Palm)"		8500
Guinea	"Oil (Palm)"		8000
Guinea	"Oil (Palm)"		8000
Guinea	"Oil (Palm)"		9000
Guinea	"Oil (Palm)"		8000
Guinea	"Oil (Palm)"		8000
Guinea	"Oil (Palm)"		10000
Guinea	"Oil (Palm)"		9500
Guinea	"Oil (Palm)"		10000
Guinea	"Oil (Palm)"		8000
Guinea	"Oil (Palm)"		8000
Guinea	"Oil (Palm)"		7500
Guinea	"Oil (Palm)"		7500
Guinea	"Oil (Palm)"		7500
Guinea	"Oil (Palm)"		7500
Guinea	"Oil (Palm)"		7500
Guinea	"Oil (Palm)"		10000
Guinea	"Oil (Palm)"		8500
Guinea	"Oil (Palm)"		7500
Guinea	"Oil (Palm)"		7500
Guinea	"Oil (Palm)"		8000
Guinea	"Oil (Palm)"		7500
Guinea	"Oil (Palm)"		7500
Guinea	"Oil (Palm)"		7500
Guinea	"Oil (Palm)"		7500
Guinea	"Oil (Palm)"		7500
Guinea	"Oil (Palm)"		10000
Guinea	"Oil (Palm)"		6875
Guinea	"Oil (Palm)"		8800
Guinea	"Oil (Palm)"		7150
Guinea	"Oil (Palm)"		8500
Guinea	"Oil (Palm)"		8500
Guinea	"Oil (Palm)"		8000
Guinea	"Oil (Palm)"		7625
Guinea	"Oil (Palm)"		7500
Guinea	"Oil (Palm)"		6125
Guinea	"Oil (Palm)"		6000
Guinea	"Oil (Palm)"		4830
Guinea	"Oil (Palm)"		4413
Guinea	Onion		8000
Guinea	Potatoes		3000
Guinea	Potatoes		8500
Guinea	Potatoes		5000
Guinea	Potatoes		5000
Guinea	Potatoes		6000
Guinea	Potatoes		7000
Guinea	"Rice (Imported)"		5500
Guinea	"Rice (Imported)"		5000
Guinea	"Rice (Imported)"		5000
Guinea	"Rice (Imported)"		5500
Guinea	"Rice (Imported)"		5500
Guinea	"Rice (Imported)"		5000
Guinea	"Rice (Imported)"		4500
Guinea	"Rice (Imported)"		4500
Guinea	"Rice (Imported)"		4500
Guinea	"Rice (Imported)"		6000
Guinea	"Rice (Imported)"		6000
Guinea	"Rice (Imported)"		6000
Guinea	"Rice (Imported)"		5000
Guinea	"Rice (Imported)"		5000
Guinea	"Rice (Imported)"		5000
Guinea	"Rice (Imported)"		6000
Guinea	"Rice (Imported)"		5000
Guinea	"Rice (Imported)"		5000
Guinea	"Rice (Imported)"		5000
Guinea	"Rice (Imported)"		4500
Guinea	"Rice (Imported)"		4500
Guinea	"Rice (Imported)"		6000
Guinea	"Rice (Imported)"		5000
Guinea	"Rice (Imported)"		5000
Guinea	"Rice (Imported)"		5000
Guinea	"Rice (Imported)"		6000
Guinea	"Rice (Local)"		7000
Guinea	"Rice (Local)"		7500
Guinea	"Rice (Local)"		9500
Guinea	"Rice (Local)"		9500
Guinea	"Rice (Local)"		9000
Guinea	"Rice (Local)"		8500
Guinea	"Rice (Local)"		6000
Guinea	"Rice (Local)"		6000
Guinea	"Rice (Local)"		6000
Guinea	"Rice (Local)"		7500
Guinea	"Rice (Local)"		7500
Guinea	"Rice (Local)"		7000
Guinea	"Rice (Local)"		7000
Guinea	"Rice (Local)"		7000
Guinea	"Rice (Local)"		7000
Guinea	"Rice (Local)"		7500
Guinea	"Rice (Local)"		6000
Guinea	"Rice (Local)"		6000
Guinea	"Rice (Local)"		6000
Guinea	"Rice (Local)"		5000
Guinea	"Rice (Local)"		5000
Guinea	"Rice (Local)"		7000
Guinea	"Rice (Local)"		6500
Guinea	"Rice (Local)"		6250
Guinea	"Rice (Local)"		6000
Guinea	"Rice (Local)"		7500
Guinea	"Rice (Local)"		7500
Guinea	"Rice (Local)"		7500
Guinea	"Rice (Local)"		7500
Guinea	"Rice (Local)"		7500
Guinea	"Rice (Local)"		7500
Guinea	"Rice (Local)"		7500
Guinea	"Rice (Local)"		5778
Guinea	"Rice (Local)"		4071
Guinea	"Rice (Local)"		4450
Guinea	"Rice (Local)"		4500
Guinea	"Rice (Local)"		4500
Guinea	"Rice (Local)"		3750
Guinea	"Rice (Local)"		3900
Guinea	"Rice (Local)"		4375
Guinea	"Rice (Local)"		4375
Guinea	"Rice (Local)"		4125
Guinea	"Rice (Local)"		4405
Guinea	"Rice (Local)"		4290
Guinea	"Rice (Local)"		3156.4
